# 0b7e170c-4ac2-4650-9e27-73e94ef8bc21
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
175.9961357; 89625.7913208; 43186.9740360; -1.5096647; -0.1000862; 6.7415947; 1.8258348
177.9960918; 89627.8020913; 43186.8912276; -1.7153618; -0.1010357; 7.2630763; 2.5837389
179.9960479; 89629.6947264; 43186.4386503; -1.8846996; -0.0685814; 7.9427329; 4.1512617
181.9960040; 89631.5571170; 43185.7229549; -1.9747386; -0.0214707; 8.9270201; 3.4329143
183.9959601; 89633.3725476; 43184.9220298; -1.9913338; 0.0002503; 9.6655597; 1.8195777
185.9959162; 89635.2447001; 43184.0961510; -1.9765877; 0.0136343; 10.0349985; -2.2855323
187.9958723; 89637.1062985; 43183.3368306; -1.9337775; 0.0313116; 9.5686606; -3.6208958
189.9958283; 89639.0350735; 43182.6986115; -1.8333845; 0.0712153; 8.7792939; -2.5841892
191.9957844; 89640.9329254; 43182.3572906; -1.6506470; 0.1093433; 8.1694229; 0.0327937
193.9957405; 89642.9108406; 43182.3970610; -1.4646520; 0.0710872; 8.1774472; 2.9955715
195.9956966; 89644.8889298; 43182.7316413; -1.3492096; 0.0484628; 8.8799024; 2.5506172
197.9956527; 89646.8249265; 43183.2605897; -1.2621586; 0.0392026; 9.4368909; 2.1823578
199.9956088; 89648.7223198; 43183.9457348; -1.1892432; 0.0284329; 9.8885869; 1.4350719
201.9955649; 89650.5636211; 43184.7264136; -1.1594163; 0.0011182; 10.1746898; -4.4325828
203.9955210; 89652.4103199; 43185.5172141; -1.1795976; -0.0197683; 9.2625250; -6.2022686
205.9954770; 89654.2912484; 43186.2350023; -1.2389016; -0.0370077; 7.8093432; -6.5700052
207.9954331; 89656.1881564; 43186.7995501; -1.3325412; -0.0632568; 5.8912135; -1.3359988
209.9953892; 89658.1670959; 43187.0275274; -1.6487130; -0.2540134; 5.4187193; -1.0556327
211.9953453; 89660.0049510; 43186.4368715; -2.0753454; -0.1614208; 5.0139885; -0.4352038
213.9953014; 89661.6454770; 43185.1844834; -2.3634517; -0.1423875; 4.8372827; 0.1410152
215.9952575; 89662.7767630; 43183.5533335; -2.7483711; -0.2501550; 4.8952377; 0.1317908
217.9952136; 89663.0554595; 43181.6143455; 3.0344050; -0.2509993; 4.9487881; 0.1466329
219.9951697; 89662.3461983; 43179.7808228; 2.5204004; -0.2240947; 5.0076963; 1.5552660
221.9951258; 89660.9576545; 43178.3982535; 2.2342652; -0.0866188; 5.5944570; 2.5393919
223.9950818; 89659.2783440; 43177.2634025; 2.1055285; -0.0546722; 6.4385786; 3.5850151
225.9950379; 89657.4964161; 43176.3322977; 2.0011477; -0.0453755; 7.4696077; 5.2298037
227.9949940; 89655.6549055; 43175.5626651; 1.9427960; -0.0135767; 8.7586412; -0.3478403
229.9949501; 89653.7787754; 43174.8409424; 1.9408171; 0.0097011; 8.6788516; -3.4015377
231.9949062; 89651.9205039; 43174.0835232; 1.9836772; 0.0395409; 7.8559922; -5.6526911
233.9948623; 89650.1427377; 43173.1719694; 2.1276183; 0.1054201; 6.2535066; -1.9953986
235.9948184; 89648.5785707; 43171.9206610; 2.3663718; 0.1218639; 5.5789717; 0.0494088
237.9947745; 89647.3668144; 43170.3135606; 2.6295353; 0.1306877; 5.5966558; 2.4432506
239.9947305; 89646.6259400; 43168.4969015; 2.8791374; 0.1322079; 6.4105651; 2.1078871
241.9946866; 89646.3842928; 43166.5223935; -3.1316435; 0.1063279; 7.0375214; 1.5419478
243.9946427; 89646.6793955; 43164.6207145; -2.7887082; 0.2450434; 7.4628656; 1.1251116
245.9945988; 89647.7714757; 43162.9489006; -2.3910545; 0.1155329; 7.7585250; 0.9199519
247.9945549; 89649.3051875; 43161.5800720; -2.2264797; 0.0590442; 7.9921485; 0.6779150
249.9945110; 89651.0151853; 43160.4596613; -2.0583358; 0.1066222; 8.1600268; 0.3967773
251.9944671; 89652.7951020; 43159.7579173; -1.8297754; 0.1203703; 8.2567011; 0.0763338
253.9944232; 89654.8018383; 43159.4603164; -1.6193683; 0.0828885; 8.2751701; -1.7407916
255.9943792; 89656.8079891; 43159.5078586; -1.4810601; 0.0635767; 7.8431771; -1.9710534
257.9943353; 89658.8593417; 43159.8418675; -1.3295834; 0.0841683; 7.3233453; -2.4740928
259.9942914; 89660.6954720; 43160.4837380; -1.1163465; 0.1626478; 6.6132619; 0.0527514
261.9942475; 89662.1862097; 43161.7089503; -0.6562368; 0.1345983; 6.6291956; 3.1679712
263.9942036; 89663.2445692; 43163.3158367; -0.5355845; 0.0336056; 7.5244828; -0.1421643
265.9941597; 89664.2718278; 43165.1640960; -0.4856642; 0.0141698; 7.4866011; -3.1187936
267.9941158; 89665.1789542; 43166.9202844; -0.4732965; -0.0026995; 6.6010829; -4.5031649
269.9940719; 89666.2252680; 43168.7058005; -0.6824035; -0.3157828; 5.0558908; -0.2744263
271.9940279; 89667.8570105; 43169.4674147; -1.4843859; -0.1394054; 4.9461450; 2.3118794
273.9939840; 89669.8257467; 43169.4885095; -1.6226257; -0.0645076; 5.8061747; 2.6147883
275.9939401; 89671.9192381; 43169.2058898; -1.8037714; -0.1031811; 6.6460957; 2.1266912
277.9938962; 89673.7956437; 43168.5487382; -2.0112638; -0.1022789; 7.2579037; 1.8387415
279.9938523; 89675.4897513; 43167.5363858; -2.2051579; -0.0940532; 7.7480301; 1.6985806
281.9938084; 89676.9882742; 43166.2103047; -2.3813077; -0.0849256; 8.1747259; 1.4354721
283.9937645; 89678.2270953; 43164.6475818; -2.5671855; -0.1025472; 8.5186799; 1.2623071
285.9937206; 89679.1320059; 43162.8494031; -2.7824327; -0.1012639; 8.8100524; 1.1188984
287.9936766; 89679.6459070; 43160.9258237; -2.9775184; -0.0980390; 9.0604922; 0.8428168
289.9936327; 89679.7709828; 43158.9033418; 3.0980399; -0.1070841; 9.2446586; 0.7563981
291.9935888; 89679.4698846; 43156.9506355; 2.8782224; -0.1082420; 9.4068719; 0.5995235
293.9935449; 89678.7658494; 43155.0952425; 2.6892903; -0.0801586; 9.5334820; -1.3858359
295.9935010; 89677.7537107; 43153.3708730; 2.5337267; -0.0760166; 9.2381848; -1.7361553
297.9934571; 89676.4887363; 43151.8198462; 2.3799788; -0.0790899; 8.8543543; -1.2447303
299.9934132; 89675.0008465; 43150.4931599; 2.2169036; -0.0803097; 8.5685925; 0.4877969
301.9933693; 89673.3201052; 43149.4138384; 2.0715065; -0.0650311; 8.6817004; 1.1941733
303.9933254; 89671.5130444; 43148.5614421; 1.9565755; -0.0501169; 8.9525700; 2.4336231
305.9932814; 89669.6407030; 43147.8982544; 1.8698966; -0.0375292; 9.4806534; 2.6141995
307.9932375; 89667.7112476; 43147.3718477; 1.8096711; -0.0203709; 10.0169535; -1.9636754
309.9931936; 89665.7733249; 43146.9229438; 1.7954313; 0.0045583; 9.6169033; -2.7102270
311.9931497; 89663.7910555; 43146.4500953; 1.8166748; 0.0126613; 9.0357157; -3.3556028
313.9931058; 89661.8454243; 43145.9310980; 1.8497712; 0.0271597; 8.2596635; -6.1809460
315.9930619; 89659.9346158; 43145.2616491; 2.0089157; 0.1609802; 6.5953620; -1.7271044
317.9930180; 89658.4227995; 43144.0846544; 2.4793932; 0.2268055; 6.0490110; 1.8709675
319.9929741; 89657.4960756; 43142.4032020; 2.7593453; 0.1022001; 6.6388433; 2.6693190
321.9929301; 89656.9027530; 43140.4373732; 2.9187563; 0.0467954; 7.3994109; 2.4654071
323.9928862; 89656.5169248; 43138.4469778; 2.9673820; 0.0040782; 8.0382021; 3.3721685
325.9928423; 89656.1826911; 43136.4730969; 2.9859904; 0.0179238; 8.8374811; 2.1317709
327.9927984; 89655.9167900; 43134.4871977; 3.0336758; 0.0259697; 9.3074147; -0.0472314
329.9927545; 89655.7557335; 43132.4914498; 3.0907968; 0.0331370; 9.2972602; -3.0789220
331.9927106; 89655.6856476; 43130.4555069; 3.0937738; -0.0484460; 8.6095081; -4.2847794
333.9926667; 89655.4277317; 43128.5181451; 2.9023766; -0.1135031; 7.5488335; -3.8765861
335.9926228; 89654.7596514; 43126.6467881; 2.7049956; -0.0910938; 6.4404102; -0.8518170
337.9925788; 89653.7335109; 43124.9272704; 2.4897192; -0.1281942; 6.1702262; 2.1837638
339.9925349; 89652.3334961; 43123.5242016; 2.2255062; -0.1295779; 6.8415316; 2.2361757
341.9924910; 89650.6226808; 43122.5171104; 1.9875722; -0.1085563; 7.4666633; 1.8658758
343.9924471; 89648.7031057; 43121.8984420; 1.7810869; -0.0969014; 7.9507484; 1.4771651
345.9924032; 89646.7215330; 43121.6630033; 1.6008375; -0.0854331; 8.3140201; 1.3916827
347.9923593; 89644.7190120; 43121.7716485; 1.4340276; -0.0804714; 8.6423110; 1.3680976
349.9923154; 89642.7684920; 43122.1993466; 1.2770186; -0.0761684; 8.9533128; 1.5692076
351.9922715; 89640.8988452; 43122.9167483; 1.1353246; -0.0656645; 9.2972309; 1.9778781
353.9922275; 89639.1365750; 43123.8755037; 1.0133060; -0.0551760; 9.7133846; 2.4344510
355.9921836; 89637.5029287; 43125.0140117; 0.9144201; -0.0457796; 10.2023248; 3.2290625
357.9921397; 89635.9768842; 43126.3024518; 0.8261053; -0.0419333; 10.8168109; 4.1600482
359.9920958; 89634.5714798; 43127.7025388; 0.7520505; -0.0314242; 11.5604163; 4.9143856
361.9920519; 89633.2483870; 43129.1950304; 0.7032161; -0.0175830; 12.3814513; 5.6629305
363.9920080; 89631.9655667; 43130.7508267; 0.6796111; -0.0063212; 13.2646734; 6.5576643
365.9919641; 89630.7181227; 43132.3088871; 0.6723482; -0.0011402; 14.2190591; 7.1452049
367.9919202; 89629.4686218; 43133.8776868; 0.6734327; 0.0006232; 15.1908470; 7.7614307
369.9918763; 89628.2216915; 43135.4402288; 0.6730967; -0.0009612; 16.1804473; 7.6729907
371.9918323; 89626.9758543; 43137.0046802; 0.6723746; 0.0003307; 17.1025777; 7.8309562
373.9917884; 89625.7285300; 43138.5691116; 0.6739384; 0.0006607; 17.9950354; 7.9233634
375.9917445; 89624.4802795; 43140.1308554; 0.6743436; -0.0002575; 18.8550804; -8.3295366
377.9917006; 89623.2312140; 43141.6960472; 0.6721400; -0.0019912; 17.9498369; -9.2914326
379.9916567; 89621.9896257; 43143.2647884; 0.6661142; -0.0043081; 16.8828827; -9.3914620
381.9916128; 89620.7639846; 43144.8413423; 0.6545146; -0.0073405; 15.7310745; -8.5304210
383.9915689; 89619.5574154; 43146.4377972; 0.6400162; -0.0069975; 14.6063606; -7.8309275
385.9915250; 89618.3792173; 43148.0436151; 0.6251257; -0.0095294; 13.4915807; -7.1428982
387.9914810; 89617.2237304; 43149.6835316; 0.6008454; -0.0146453; 12.3875657; -5.9319064
389.9914371; 89616.1323622; 43151.3490590; 0.5532135; -0.0330011; 11.3896742; -5.1216493
391.9913932; 89615.1444114; 43153.0976145; 0.4704191; -0.0478584; 10.4517238; -4.3821670
393.9913493; 89614.3324940; 43154.9247361; 0.3612035; -0.0619638; 9.5765468; -3.5214269
395.9913054; 89613.7452554; 43156.8586306; 0.2240548; -0.0754661; 8.8104966; -4.2979315
397.9912615; 89613.4673347; 43158.8319862; 0.0437767; -0.1114441; 7.7738987; -4.8355336
399.9912176; 89613.6286902; 43160.8025171; -0.2201120; -0.1473650; 6.4102880; -1.0293754
401.9911737; 89614.3367777; 43162.6921610; -0.4925130; -0.1346994; 6.0806563; -0.8415312
403.9911297; 89615.5478635; 43164.3084870; -0.8053866; -0.1692700; 5.7972691; 0.7426375
405.9910858; 89617.1167885; 43165.3386255; -1.2389745; -0.3429825; 6.0480422; 1.7606319
407.9910419; 89619.0560936; 43165.4207972; -1.7358832; -0.1324812; 6.6046338; 1.4092829
409.9909980; 89621.0603199; 43164.8614849; -1.9328964; -0.0794191; 7.0184183; 1.2468887
411.9909541; 89622.8862716; 43163.9854378; -2.1087487; -0.0945342; 7.3651640; 1.3852015
413.9909102; 89624.4805518; 43162.8093749; -2.3049686; -0.0954599; 7.7321617; 1.6566107
415.9908663; 89625.8392331; 43161.3449190; -2.4758628; -0.0761695; 8.1493940; 2.2871603
417.9908224; 89626.9596434; 43159.6893354; -2.6118085; -0.0592013; 8.6925866; 2.8478513
419.9907784; 89627.8759056; 43157.9164591; -2.7111058; -0.0408855; 9.3248173; 3.9036947
421.9907345; 89628.6448877; 43156.0704343; -2.7776051; -0.0256772; 10.1275196; 5.0794776
423.9906906; 89629.3174381; 43154.1883882; -2.8143867; -0.0112558; 11.0853109; 5.8901196
425.9906467; 89629.9483819; 43152.2889754; -2.8227083; 0.0023915; 12.1014081; 6.1029556
427.9906028; 89630.5872271; 43150.3914978; -2.8074369; 0.0129586; 13.0711654; -2.0015921
429.9905589; 89631.2753211; 43148.5047179; -2.7759813; 0.0148979; 12.7612371; -6.4321586
431.9905150; 89632.0122885; 43146.6556716; -2.7496257; 0.0134058; 11.7098720; -4.5616529
433.9904711; 89632.8087840; 43144.8236001; -2.7087532; 0.0271491; 10.9029763; -3.8718363
435.9904271; 89633.6983825; 43143.0470301; -2.6405342; 0.0430052; 10.1679834; -3.3490060
437.9903832; 89634.7461254; 43141.3374811; -2.5378874; 0.0569746; 9.4864196; -2.7484253
439.9903393; 89635.9635347; 43139.7685984; -2.4260552; 0.0551975; 8.8881212; -4.1116718
441.9902954; 89637.3968521; 43138.3058516; -2.2929626; 0.0947450; 7.9090057; -4.6342179
443.9902515; 89639.0279180; 43137.2050901; -1.9922786; 0.2282796; 6.6344485; -1.0109109
445.9902076; 89640.9734950; 43136.7993545; -1.5881912; 0.1556242; 6.3223692; -0.8233597
447.9901637; 89642.9881667; 43137.0281603; -1.3371414; 0.1267475; 6.0563178; -0.6866266
449.9901198; 89644.8135734; 43137.7658316; -1.0037235; 0.2135887; 5.8251643; -0.1797672
451.9900759; 89646.2291318; 43139.1480028; -0.6028464; 0.1796003; 5.7631143; 1.6493414
453.9900319; 89647.0098700; 43140.9446930; -0.2074491; 0.1978813; 6.3095726; 1.6137876
455.9899880; 89647.0943414; 43142.8792079; 0.0933009; 0.1189216; 6.8018906; 1.7941473
457.9899441; 89646.6856491; 43144.8917869; 0.2904611; 0.0678012; 7.3104136; 2.1509536
459.9899002; 89646.0042471; 43146.7925334; 0.3858438; 0.0310261; 7.8769139; 3.3310299
461.9898563; 89645.1899087; 43148.6450128; 0.4430513; 0.0295329; 8.6815667; 4.2390876
463.9898124; 89644.2918362; 43150.4035289; 0.5004621; 0.0267962; 9.6086200; 5.5502632
465.9897685; 89643.2900889; 43152.1342509; 0.5463298; 0.0190524; 10.7016888; 6.4689126
467.9897246; 89642.2233274; 43153.8246986; 0.5772466; 0.0120626; 11.8491023; 7.0577688
469.9896806; 89641.1139812; 43155.4917611; 0.5952339; 0.0069547; 12.9858261; 7.3124846
471.9896367; 89639.9818676; 43157.1407190; 0.6075373; 0.0053623; 14.0670173; 6.9067761
473.9895928; 89638.8300255; 43158.7790088; 0.6182202; 0.0056868; 15.0169063; 6.7214694
475.9895489; 89637.6621110; 43160.4005635; 0.6304724; 0.0067143; 15.8868739; 6.2130530
477.9895050; 89636.4720547; 43162.0067307; 0.6453527; 0.0081664; 16.6506585; 0.2623203
479.9894611; 89635.2624786; 43163.5884723; 0.6589969; 0.0046425; 16.6821367; -3.0612212
481.9894172; 89634.0318421; 43165.1666344; 0.6654467; 0.0052682; 16.3110107; -6.7298308
483.9893733; 89632.7807183; 43166.7322005; 0.6864897; 0.0157509; 15.4638397; -6.1585584
485.9893293; 89631.4783350; 43168.2660262; 0.7218386; 0.0179459; 14.6457040; -5.7004867
487.9892854; 89630.1228069; 43169.7499349; 0.7584402; 0.0166763; 13.8454035; -5.2050135
489.9892415; 89628.7317240; 43171.1770556; 0.7842656; 0.0090384; 13.0719395; -5.2890966
491.9891976; 89627.3034588; 43172.5689303; 0.8211648; 0.0321546; 12.2359994; -5.8310897
493.9891537; 89625.8394987; 43173.8321570; 0.9021132; 0.0489509; 11.2425902; -6.1061171
495.9891098; 89624.1643125; 43175.0241188; 1.0000047; 0.0381287; 10.0981138; -6.3043430
497.9890659; 89622.4143250; 43176.0840752; 1.0421328; 0.0066549; 8.7609978; -7.2762193
499.9890220; 89620.6622272; 43177.1446372; 0.9559601; -0.1630759; 6.9029592; -5.0039181
501.9889780; 89619.4868874; 43178.5205732; 0.4101868; -0.3040262; 5.2569585; -0.9469079
503.9889341; 89619.1754487; 43180.5350047; -0.0553915; -0.1628745; 4.8834479; 0.3168998
505.9888902; 89619.5659167; 43182.4809369; -0.3325918; -0.1362234; 5.0115502; 0.7133801
507.9888463; 89620.5081320; 43184.2667767; -0.6512681; -0.1695559; 5.2885814; 1.1801904
509.9888024; 89621.9565867; 43185.6232296; -0.9801427; -0.1550315; 5.7174952; 1.3078484
511.9887585; 89623.7695349; 43186.4977159; -1.2494676; -0.1188444; 6.1580053; 1.4565806
513.9887146; 89625.7364903; 43186.8958752; -1.4980202; -0.1289311; 6.6141684; 1.7081792
515.9886707; 89627.7193379; 43186.8018557; -1.7262787; -0.0930622; 7.1119471; 2.6787352
517.9886268; 89629.6351578; 43186.3453266; -1.8730813; -0.0585006; 7.8290802; 3.8725467
519.9885828; 89631.5021024; 43185.6679252; -1.9540932; -0.0280599; 8.7626676; 5.5203657
521.9885389; 89633.3539914; 43184.8702644; -1.9965206; -0.0148947; 9.9431042; -1.0549954
523.9884950; 89635.1931390; 43184.0185861; -2.0040650; 0.0088532; 9.7285884; -2.6833036
525.9884511; 89637.0416223; 43183.2058743; -1.9542781; 0.0437243; 9.1603741; -4.0279701
527.9884072; 89638.9085987; 43182.5793465; -1.8161347; 0.1006110; 8.2341318; -2.1209551
529.9883633; 89640.8713611; 43182.2994912; -1.6128183; 0.0912640; 7.7017720; 1.3948291
531.9883194; 89642.8526917; 43182.3705643; -1.4666556; 0.0620628; 8.0558355; 3.1015004
533.9882755; 89644.8353666; 43182.6964195; -1.3515886; 0.0544106; 8.7921678; 2.7817736
535.9882315; 89646.7660951; 43183.2340072; -1.2495805; 0.0464288; 9.4036730; 3.3805718
537.9881876; 89648.6194317; 43183.9276430; -1.1859581; 0.0173187; 10.0970815; 0.2194706
539.9881437; 89650.4924233; 43184.7064295; -1.1739639; -0.0011260; 10.1404595; -4.5687684
541.9880998; 89652.3432232; 43185.4737924; -1.1843715; -0.0096690; 9.1953383; -3.4078792
543.9880559; 89654.2578469; 43186.2173961; -1.2245198; -0.0333991; 8.4215811; -5.2778201
545.9880120; 89656.1434953; 43186.7941950; -1.3486433; -0.1111940; 7.0577767; -5.5525717
547.9879681; 89658.0751014; 43186.9521024; -1.6511520; -0.1772351; 5.2537998; -1.0746451
549.9879242; 89660.0136508; 43186.4255439; -2.0249500; -0.1878855; 4.8274141; -0.1768892
